T,K,type,x_logmoneyness_sqrtT,iv_target,iv_fit,price_target,price_fit
0.25,80.0,P,-0.40830509637591383,0.3237940951276233,0.3249773621585685,0.7039686719488303,0.7133605103076074
0.25,90.0,P,-0.17273902506314703,0.2520813442577991,0.2516485268075849,1.7243971496346278,1.7180290647292829
0.25,100.0,P,0.03798200625250572,0.21189002155215153,0.21261639903123766,5.166564382501787,5.180598406317977
0.25,110.0,C,0.22860236586115537,0.20035487275331124,0.2006659922310803,0.6543287937584852,0.6576738810137015
0.25,120.0,C,0.4026251198404148,0.19963902387527746,0.19896473882729285,0.08739138068821335,0.08550652695303919
0.5,80.0,P,-0.2975541372052676,0.2910235272049121,0.2910549428279878,1.4403470010241877,1.4408069389830191
0.5,90.0,P,-0.13098377076253626,0.25211686094604996,0.25233308983049996,3.1852167950076185,3.1901716618015854
0.5,100.0,P,0.018018499419384534,0.22759013429635205,0.22794831620951153,6.955702428599299,6.965579358842158
0.5,110.0,C,0.15280744833087886,0.20843573093537465,0.2084115115603386,2.0503069911701064,2.049769656980945
0.5,120.0,C,0.27586011775037167,0.2016882980375504,0.20169775177696656,0.6037105893714353,0.6038230927885198
1.0,80.0,P,-0.22290254818795713,0.27462381084779686,0.27354156427077914,2.8190362953832415,2.7920997160084515
1.0,90.0,P,-0.10511951253157364,0.2555721231630064,0.25569183152453545,5.362631117946954,5.366678284540358
1.0,100.0,P,0.00024100312625258935,0.24270755910611222,0.2431420156558945,9.4783321761476,9.495194381719285
1.0,110.0,C,0.09555118293057749,0.2234661351743513,0.2232184522904293,5.0627022861086575,5.0534911952973784
1.0,120.0,C,0.18256255992020728,0.21553218090670684,0.2154942161068581,2.5494469054824664,2.548317630403059
