scenario,model,method,M,baseM,price,abs_error,wall_ms
GBM put (many dividends),gbm,manyM,16,,8.561057331565642,0.02041918720327196,12.344399932771921
GBM put (many dividends),gbm,manyM,32,,8.568095346935678,0.013381171833236394,17.185800010338426
GBM put (many dividends),gbm,manyM,64,,8.575222588038184,0.006253930730730772,25.12240002397448
GBM put (many dividends),gbm,manyM,128,,8.579107028268826,0.0023694905000883892,49.27050007972866
GBM put (many dividends),gbm,manyM,256,,8.580773391743627,0.000703127025287742,93.16790010780096
GBM put (many dividends),gbm,manyM,512,,8.581595427631541,0.00011890886262655442,171.58700001891702
GBM put (many dividends),gbm,manyM,1024,,8.582026976429958,0.0005504576610437795,345.2918999828398
GBM put (many dividends),gbm,richardson,16,2,8.585446483334438,0.003969964565524009,39.01690000202507
GBM put (many dividends),gbm,richardson,32,4,8.575133056776558,0.0063434619923565805,46.08110000845045
GBM put (many dividends),gbm,richardson,64,8,8.586026785595024,0.004550266826109706,61.374599928967655
GBM put (many dividends),gbm,richardson,128,16,8.582983924028593,0.001507405259678407,104.60780002176762
GBM put (many dividends),gbm,richardson,256,32,8.582120208292224,0.0006436895233097317,184.79139998089522
GBM put (many dividends),gbm,richardson,512,64,8.582432058976234,0.000955540207320027,343.1812999770045
Merton put (many dividends),merton,manyM,16,,9.654335584786974,0.01345206178032754,11.303100036457181
Merton put (many dividends),merton,manyM,32,,9.659000172538574,0.00878747402872726,14.353199978359044
Merton put (many dividends),merton,manyM,64,,9.66368671041125,0.00410093615605156,25.02599998842925
Merton put (many dividends),merton,manyM,128,,9.666193805582209,0.0015938409850928537,50.5065000616014
Merton put (many dividends),merton,manyM,256,,9.667262441545867,0.0005252050214341608,96.69599996414036
Merton put (many dividends),merton,manyM,512,,9.667785056666155,2.5899011468766275e-06,179.14289992768317
Merton put (many dividends),merton,manyM,1024,,9.66805819902947,0.0002705524621688937,349.1506000282243
Merton put (many dividends),merton,richardson,16,2,9.66436291520207,0.0034247313652322475,38.23449998162687
Merton put (many dividends),merton,richardson,32,4,9.665519952770456,0.002267693796845549,46.543499920517206
Merton put (many dividends),merton,richardson,64,8,9.670628546415843,0.0028408998485414116,62.4381999950856
Merton put (many dividends),merton,richardson,128,16,9.66864831452307,0.000860667955768335,104.64549995958805
Merton put (many dividends),merton,richardson,256,32,9.668121758073845,0.00033411150654316657,183.7892000330612
Merton put (many dividends),merton,richardson,512,64,9.66831302227643,0.0005253757091292499,350.9176999796182
