model,T,iv_atm,skew_atm,curv_atm,smile_rms
GBM,0.019178082191780823,0.20000000000000512,-1.5463820700136145e-13,6.153807622208039e-11,8.220536548805989e-05
GBM,0.038356164383561646,0.19999999999993776,-1.0547118733939011e-13,4.3112905535852196e-10,1.5295552902277666e-10
GBM,0.057534246575342465,0.19999999999966575,5.313210189277547e-14,1.687448366979256e-09,6.6115090906981156e-12
GBM,0.0821917808219178,0.19999999999860876,6.344131569286623e-15,9.11144175980947e-09,5.828113028935161e-12
GBM,0.16666666666666666,0.199999999976191,1.4274296030894903e-14,1.5596884328279418e-07,2.2424522473235772e-11
GBM,0.25,0.20000000000000098,1.6653345369377386e-14,9.153675549970722e-12,1.5492003620069445e-12
GBM,0.5,0.2000000000000003,-1.6653345369377386e-14,9.416857316600027e-08,4.435450565445024e-12
GBM,1.0,0.20000000000010393,-1.0309213800090763e-14,3.535765784465423e-09,4.490323939484513e-12
GBM,2.0,0.2000000000154341,5.868321701590127e-14,-1.0080208776529737e-07,1.5030314633684377e-11
Vg,0.019178082191780823,0.10359854923701771,-2.6882803525800782,232.93199641776079,0.2484146296778945
Vg,0.038356164383561646,0.12832351862073899,-2.676801428202584,37.510106094976614,0.16164077298645357
Vg,0.057534246575342465,0.14191291041892115,-2.4887335276986273,-31.395012959502917,0.12345059396087044
Vg,0.0821917808219178,0.1526368957552673,-1.852369979926011,-22.88979553118407,0.09716477398516632
Vg,0.16666666666666666,0.16928556262430255,-0.9234711069632082,-5.488488306964889,0.06379977365883016
Vg,0.25,0.17594813808590895,-0.6152541009080801,-2.3788457176324216,0.05206418830177425
Vg,0.5,0.1833425640288699,-0.30575588323880465,-0.5648780095597943,0.03414530485587981
Vg,1.0,0.18730748406876366,-0.15193055955422882,-0.1352049307719634,0.017703735716015224
Vg,2.0,0.18934915082434656,-0.07565247557962967,-0.03285332801334388,0.008792812048188776
Merton,0.019178082191780823,0.2372948008962644,-2.067608295669004,67.51891187869596,0.2974012788932595
Merton,0.038356164383561646,0.266342947414805,-1.846311268332465,35.925891021071656,0.21746728015000905
Merton,0.057534246575342465,0.28794640596945165,-1.7009525270122583,22.909013039709716,0.18178429460068415
Merton,0.0821917808219178,0.3098215373968647,-1.547719135725926,14.141657521489734,0.154890289522807
Merton,0.16666666666666666,0.3585876952039144,-1.1466135768414767,3.091370035260914,0.10859108976980474
Merton,0.25,0.38563532480576995,-0.8618284969467296,0.030752356027842376,0.08431851127926084
Merton,0.5,0.4158624709346293,-0.3896783648829022,-1.0341287609428038,0.04407666894821934
Merton,1.0,0.4215342296546634,-0.15158379066678118,-0.16830361000392347,0.018079570042981316
Merton,2.0,0.42310267217577496,-0.07551829833618749,-0.030220594335203944,0.008782864510887415
Kou,0.019178082191780823,0.16851537233019764,-0.315597455836003,15.155453537329606,0.17227023273230194
Kou,0.038356164383561646,0.1714079552823831,-0.263481092491605,8.69167758328407,0.11100082567245338
Kou,0.057534246575342465,0.17340712340354153,-0.23821662857616055,6.2088333600762775,0.08442929640826213
Kou,0.0821917808219178,0.17534378481018686,-0.21681244738002198,4.549318004795529,0.06532606043825041
Kou,0.16666666666666666,0.1795757895220028,-0.17401235973601634,2.3064724752139667,0.037234831648437716
Kou,0.25,0.182132872448921,-0.14896398438856265,1.4858208968103341,0.026431102479703917
Kou,0.5,0.1864001543069515,-0.10696496503659043,0.6280068528134448,0.014875480045850922
Kou,1.0,0.1900802851797578,-0.06982640380040261,0.22598196002476917,0.00858484364185697
Kou,2.0,0.19280073121422545,-0.041447877130552424,0.06913170217896047,0.004878564564522083
CGMY,0.019178082191780823,0.11283083544514638,-0.7680217809790686,174.11570712491218,0.2544189836525725
CGMY,0.038356164383561646,0.1250466096850839,-0.6628276810631161,75.65877614589488,0.16891960530154382
CGMY,0.057534246575342465,0.1320411279133282,-0.5787013640929061,43.830348542169965,0.12978352841330712
CGMY,0.0821917808219178,0.1380150314497792,-0.5009192998348538,26.46826734735829,0.1011335445141044
CGMY,0.16666666666666666,0.14912405932483364,-0.35725054598085365,9.307981020978314,0.05871320189642142
CGMY,0.25,0.15492780673765327,-0.2869946461089804,5.009467558026233,0.04215880748715991
CGMY,0.5,0.16367664253164932,-0.1901007699133234,1.6899414482508408,0.024254037732830556
CGMY,1.0,0.170786271756801,-0.12021889860610539,0.5520138228734734,0.014412656859929943
CGMY,2.0,0.17622024880638895,-0.07260665391155727,0.17457461640832986,0.008520415236507956
