beta,american,eep,time_s
1,11.823918552427,2.361425956260,0.1011
1.2663802,11.258764665910,1.796272069743,0.1011
1.6037187,10.839776960015,1.377284363848,0.0970
2.0309176,10.527110920196,1.064618324029,0.0919
2.5719138,10.292531033302,0.830038437135,0.0946
3.2570207,10.115788916138,0.653296319971,0.0920
4.1246264,9.982202167020,0.519709570853,0.0914
5.2233451,9.881015672106,0.418523075939,0.0951
6.6147406,9.804277351948,0.341784755781,0.0975
8.3767764,9.746057948177,0.283565352010,0.0938
10.608184,9.701904191435,0.239411595268,0.0943
13.433993,9.668451567430,0.205958971263,0.0970
17.012543,9.643146737665,0.180654141498,0.0987
21.544347,9.624045845355,0.161553249188,0.1009
27.283334,9.609666008053,0.147173411886,0.1029
34.551073,9.598874708655,0.136382112488,0.0968
43.754794,9.590806653769,0.128314057602,0.0947
55.410203,9.584800841287,0.122308245120,0.0937
70.170383,9.580352676814,0.117860080647,0.0939
88.862382,9.577077399014,0.114584802847,0.0944
112.53356,9.574682064062,0.112189467895,0.0916
142.51027,9.572944045373,0.110451449206,0.0941
180.47218,9.571694516015,0.109201919848,0.0932
228.54639,9.570805755733,0.108313159566,0.0914
289.42661,9.570181402840,0.107688806672,0.0905
366.52412,9.569748983573,0.107256387406,0.0958
464.15888,9.569454214555,0.106961618388,0.1029
587.80161,9.569256689026,0.106764092858,0.0947
744.3803,9.569126628134,0.106634031967,0.0894
942.66846,9.569042421008,0.106549824841,0.0901
1193.7766,9.568988716400,0.106496120233,0.0889
1511.7751,9.568954887631,0.106462291464,0.0918
1914.482,9.568933774792,0.106441178625,0.0963
2424.462,9.568920675801,0.106428079634,0.0917
3070.2906,9.568912573864,0.106419977697,0.0908
3888.1552,9.568907570788,0.106414974621,0.0939
4923.8826,9.568904485803,0.106411889636,0.0919
6235.5073,9.568902585202,0.106409989034,0.0924
7896.5229,9.568901411940,0.106408815773,0.0987
10000,9.568900682936,0.106408086769,0.1011
