beta,american_logsumexp_pair,eep_logsumexp_pair,eepdiff_logsumexp_pair,time_logsumexp_pair,american_sqrt,eep_sqrt,eepdiff_sqrt,time_sqrt
1,11.823918552427,2.361425956260,2.255019125971e+00,0.0801,15.576496279822,6.114003683655,6.007596853366e+00,0.0765
1.2663802,11.258764665910,1.796272069743,1.689865239454e+00,0.0793,14.001026229824,4.538533633657,4.432126803368e+00,0.0748
1.6037187,10.839776960015,1.377284363848,1.270877533559e+00,0.0817,12.825371131910,3.362878535742,3.256471705454e+00,0.0758
2.0309176,10.527110920196,1.064618324029,9.582114937398e-01,0.0822,11.953099066907,2.490606470740,2.384199640451e+00,0.0754
2.5719138,10.292531033302,0.830038437135,7.236316068462e-01,0.0797,11.309069830867,1.846577234700,1.740170404411e+00,0.0760
3.2570207,10.115788916138,0.653296319971,5.468894896822e-01,0.0795,10.835404955483,1.372912359316,1.266505529027e+00,0.0812
4.1246264,9.982202167020,0.519709570853,4.133027405645e-01,0.0814,10.488058175068,1.025565578901,9.191587486124e-01,0.0763
5.2233451,9.881015672106,0.418523075939,3.121162456505e-01,0.0848,10.233900031448,0.771407435281,6.650006049921e-01,0.0758
6.6147406,9.804277351948,0.341784755781,2.353779254916e-01,0.0791,10.048273842993,0.585781246826,4.793744165368e-01,0.0752
8.3767764,9.746057948177,0.283565352010,1.771585217206e-01,0.0848,9.912985407677,0.450492811509,3.440859812205e-01,0.0744
10.608184,9.701904191435,0.239411595268,1.330047649794e-01,0.0798,9.814678079291,0.352185483124,2.457786528351e-01,0.0723
13.433993,9.668451567430,0.205958971263,9.955214097383e-02,0.0845,9.743544838962,0.281052242794,1.746454125056e-01,0.0734
17.012543,9.643146737665,0.180654141498,7.424731120899e-02,0.0829,9.692347503523,0.229854907356,1.234480770668e-01,0.0798
21.544347,9.624045845355,0.161553249188,5.514641889933e-02,0.0825,9.655714279775,0.193221683608,8.681485331940e-02,0.0735
27.283334,9.609666008053,0.147173411886,4.076658159683e-02,0.0890,9.629655622786,0.167163026619,6.075619632975e-02,0.0767
34.551073,9.598874708655,0.136382112488,2.997528219920e-02,0.0895,9.611222493479,0.148729897312,4.232306702312e-02,0.0759
43.754794,9.590806653769,0.128314057602,2.190722731298e-02,0.0852,9.598251584778,0.135758988611,2.935215832164e-02,0.0781
55.410203,9.584800841287,0.122308245120,1.590141483086e-02,0.0829,9.589169048735,0.126676452568,2.026962227860e-02,0.0748
70.170383,9.580352676814,0.117860080647,1.145325035805e-02,0.0839,9.582838782522,0.120346186355,1.393935606609e-02,0.0745
88.862382,9.577077399014,0.114584802847,8.177972558009e-03,0.0830,9.578446421493,0.115953825326,9.546995037219e-03,0.0819
112.53356,9.574682064062,0.112189467895,5.782637606474e-03,0.0824,9.575411882449,0.112919286282,6.512455992999e-03,0.0775
142.51027,9.572944045373,0.110451449206,4.044618916716e-03,0.0842,9.573324301352,0.110831705185,4.424874896239e-03,0.0750
180.47218,9.571694516015,0.109201919848,2.795089559145e-03,0.0807,9.571894176292,0.109401580125,2.994749836477e-03,0.0783
228.54639,9.570805755733,0.108313159566,1.906329276721e-03,0.0807,9.570918502558,0.108425906391,2.019076102213e-03,0.0743
289.42661,9.570181402840,0.107688806672,1.281976383577e-03,0.0821,9.570255588707,0.107762992540,1.356162251179e-03,0.0740
366.52412,9.569748983573,0.107256387406,8.495571166680e-04,0.0840,9.569806991607,0.107314395440,9.075651512749e-04,0.0788
464.15888,9.569454214555,0.106961618388,5.547880988637e-04,0.0795,9.569504626803,0.107012030636,6.052003472838e-04,0.0746
587.80161,9.569256689026,0.106764092858,3.572625695600e-04,0.0830,9.569301617124,0.106809020957,4.021906678524e-04,0.0772
744.3803,9.569126628134,0.106634031967,2.272016776583e-04,0.0824,9.569165830108,0.106673233941,2.664036523399e-04,0.0770
942.66846,9.569042421008,0.106549824841,1.429945522098e-04,0.0905,9.569075338112,0.106582741945,1.759116561750e-04,0.0767
1193.7766,9.568988716400,0.106496120233,8.928994387603e-05,0.0860,9.569015244228,0.106522648061,1.158177723894e-04,0.0724
1511.7751,9.568954887631,0.106462291464,5.546117476918e-05,0.0832,9.568975472427,0.106482876260,7.604597075428e-05,0.0759
1914.482,9.568933774792,0.106441178625,3.434833642935e-05,0.0805,9.568949235911,0.106456639743,4.980945458399e-05,0.0766
2424.462,9.568920675801,0.106428079634,2.124934544057e-05,0.0844,9.568931981272,0.106439385105,3.255481637510e-05,0.0774
3070.2906,9.568912573864,0.106419977697,1.314740769764e-05,0.0811,9.568920665197,0.106428069030,2.123874073234e-05,0.0770
3888.1552,9.568907570788,0.106414974621,8.144332461768e-06,0.0838,9.568913261744,0.106420665576,1.383528758758e-05,0.0775
4923.8826,9.568904485803,0.106411889636,5.059346818825e-06,0.0873,9.568908427851,0.106415831684,9.001394873920e-06,0.0767
6235.5073,9.568902585202,0.106409989034,3.158745563780e-06,0.0841,9.568905276885,0.106412680717,5.850428584253e-06,0.0738
7896.5229,9.568901411940,0.106408815773,1.985484018974e-06,0.0826,9.568903225683,0.106410629516,3.799227156875e-06,0.0757
10000,9.568900682936,0.106408086769,1.256480395284e-06,0.0860,9.568901891871,0.106409295704,2.465415471775e-06,0.0797
