beta,american_logsumexp_pair,eep_logsumexp_pair,time_logsumexp_pair,american_sqrt,eep_sqrt,time_sqrt
1,12.245365742681,2.782873146514,1.1844,18.901031887631,9.438539291464,1.1589
1.2663802,11.580309905527,2.117817309360,1.1629,16.504146633217,7.041654037050,1.1143
1.6037187,11.086499173723,1.624006577556,1.1675,14.698209208279,5.235716612112,1.1107
2.0309176,10.717300506638,1.254807910471,1.1628,13.346341258830,3.883848662663,1.1697
2.5719138,10.439692352835,0.977199756668,1.1573,12.340433966935,2.877941370768,1.1437
3.2570207,10.230002452044,0.767509855876,1.1496,11.595854624937,2.133362028770,1.1172
4.1246264,10.071062731052,0.608570134884,1.1752,11.047063654354,1.584571058187,1.1512
5.2233451,9.950289416063,0.487796819896,1.1749,10.643906125029,1.181413528862,1.1237
6.6147406,9.858369681708,0.395877085541,1.1743,10.348454361459,0.885961765292,1.1300
8.3767764,9.788352001129,0.325859404962,1.2034,10.132343474444,0.669850878277,1.1007
10.608184,9.735009040137,0.272516443970,1.1694,9.974561645790,0.512069049623,1.0942
13.433993,9.694386331933,0.231893735766,1.1617,9.859650622870,0.397158026703,1.1069
17.012543,9.663478473332,0.200985877164,1.1846,9.776264594217,0.313771998050,1.1132
21.544347,9.639993645658,0.177501049491,1.1839,9.716047947802,0.253555351635,1.1146
27.283334,9.622180140893,0.159687544726,1.1602,9.672808265560,0.210315669393,1.1432
34.551073,9.608697129279,0.146204533112,1.1248,9.641940785698,0.179448189531,1.1282
43.754794,9.598517505295,0.136024909128,1.1485,9.620029845236,0.157537249069,1.1009
55.410203,9.590854327485,0.128361731318,1.1341,9.604558786169,0.142066190001,1.1003
70.170383,9.585104822929,0.122612226762,1.1583,9.593688534781,0.131195938614,1.1459
88.862382,9.580807593849,0.118314997682,1.1612,9.586086008383,0.123593412216,1.1568
112.53356,9.577609819263,0.115117223095,1.1670,9.580792000822,0.118299404655,1.1083
142.51027,9.575242064676,0.112749468509,1.1684,9.577120849119,0.114628252952,1.0890
180.47218,9.573498907007,0.111006310840,1.1529,9.574585299501,0.112092703334,1.0978
228.54639,9.572224020517,0.109731424350,1.1907,9.572840933894,0.110348337727,1.1022
289.42661,9.571298693085,0.108806096918,1.1622,9.571645489776,0.109152893609,1.1037
366.52412,9.570632986062,0.108140389895,1.1380,9.570829341374,0.108336745207,1.1031
464.15888,9.570158934020,0.107666337853,1.1691,9.570274238347,0.107781642180,1.0894
587.80161,9.569825320969,0.107332724802,1.1720,9.569898090079,0.107405493912,1.1155
744.3803,9.569593678009,0.107101081842,1.1317,9.569644141525,0.107151545358,1.1012
942.66846,9.569435229724,0.106942633557,1.1102,9.569473313723,0.106980717555,1.0994
1193.7766,9.569328579867,0.106835983700,1.1311,9.569358808133,0.106866211966,1.1028
1511.7751,9.569257968003,0.106765371836,1.1759,9.569282321752,0.106789725585,1.0956
1914.482,9.569211952659,0.106719356492,1.1813,9.569231403651,0.106738807484,1.0896
2424.462,9.569182394073,0.106689797906,1.1617,9.569197617176,0.106705021009,1.1136
3070.2906,9.569163639649,0.106671043482,1.1610,9.569175267954,0.106682671787,1.1030
3888.1552,9.569151859907,0.106659263740,1.1429,9.569160527433,0.106667931266,1.0993
4923.8826,9.569144517901,0.106651921734,1.1228,9.569150831512,0.106658235345,1.1109
6235.5073,9.569139965006,0.106647368839,1.1241,9.569144469548,0.106651873381,1.0986
7896.5229,9.569137147815,0.106644551648,1.1554,9.569140304492,0.106647708325,1.0921
10000,9.569135403547,0.106642807380,1.1980,9.569137583177,0.106644987010,1.0994
